,_id,_index,_score,_source.analog_in_4,_source.analog_in_5,_source.dev_id,_source.relative_humidity_3,_source.temperature_2,_source.time,_type
704,59998cd3-8f14-4d7c-a43c-38247d4b4e18,coffee_sensors_v2,1.0,24.37,11.74,aws-dev-01,23.0,36.0,2018-09-08T09:22:10.270052917Z,sensor
705,9d1ff781-9e19-4d33-9e1d-fa1d703bef3a,coffee_sensors_v2,1.0,25.21,12.11,aws-dev-01,23.0,34.0,2018-09-08T09:27:22.479851461Z,sensor
706,a483db3c-f76c-4865-91ff-26f8e994e034,coffee_sensors_v2,1.0,26.15,12.03,aws-dev-01,20.0,34.0,2018-09-08T10:08:30.187861368Z,sensor
707,ba75c8d5-4b6d-4632-8ac7-9265ec96fa07,coffee_sensors_v2,1.0,26.18,12.24,aws-dev-01,22.0,33.0,2018-09-08T10:23:48.848427531Z,sensor
708,262dbb1c-bccc-496e-af9e-2a503432c1a8,coffee_sensors_v2,1.0,29.91,11.92,aws-dev-01,24.0,33.0,2018-09-08T10:59:40.268568389Z,sensor
709,b2c401d9-531c-4cc0-b980-477b4bb74457,coffee_sensors_v2,1.0,24.1,11.73,aws-dev-01,28.0,32.0,2018-09-08T08:56:19.237485745Z,sensor
710,32ff6a53-ea2d-44d0-94d0-fa21971f6d0b,coffee_sensors_v2,1.0,27.16,12.19,aws-dev-01,22.0,35.0,2018-09-08T10:13:36.73759562Z,sensor
711,20e617d4-709f-4f42-bf6d-9e330eee5449,coffee_sensors_v2,1.0,31.72,12.28,aws-dev-01,22.0,34.0,2018-09-08T11:04:46.495723838Z,sensor
712,ce5f2015-47a2-4bfb-a4f7-e445cb987b31,coffee_sensors_v2,1.0,21.98,15.18,aws-dev-01,29.0,24.0,2018-09-08T13:38:50.342601525Z,sensor
713,4db5baac-2cbd-4f63-ae5e-81b47a3dec82,coffee_sensors_v2,1.0,20.24,15.69,aws-dev-01,30.0,24.0,2018-09-08T13:49:08.74003406Z,sensor
714,a79f944e-75b4-4f7c-aa39-381fe3a5d6c7,coffee_sensors_v2,1.0,20.34,15.39,aws-dev-01,31.0,22.0,2018-09-08T13:59:29.169485184Z,sensor
715,3bd09702-b70b-433c-ad8d-73f8f4aae38c,coffee_sensors_v2,1.0,20.37,14.98,aws-dev-01,32.0,21.0,2018-09-08T14:20:02.988795713Z,sensor
716,99d48d6e-5fe3-46f9-be60-c548b49ab995,coffee_sensors_v2,1.0,22.25,15.27,aws-dev-01,28.0,25.0,2018-09-08T13:02:57.885994282Z,sensor
717,5b6b1fd6-71ee-45f0-8b1a-b5a078ba0035,coffee_sensors_v2,1.0,34.54,11.96,aws-dev-01,26.0,30.0,2018-09-08T12:01:15.774804482Z,sensor
718,1859ce51-8232-4117-a13d-52a42a922961,coffee_sensors_v2,1.0,35.08,11.6,aws-dev-01,23.0,34.0,2018-09-08T11:25:22.306510076Z,sensor
719,c9280a80-0bbd-4d10-8ffd-948585bfeb8f,coffee_sensors_v2,1.0,34.21,11.53,aws-dev-01,22.0,32.0,2018-09-08T11:51:03.35040533Z,sensor
720,eecd2f09-7281-4970-a7c3-09f064affaf9,coffee_sensors_v2,1.0,30.21,4.06,aws-dev-01,27.0,30.0,2018-09-08T12:27:03.430861164Z,sensor
721,4549425b-f799-4b7c-aadc-30ddffcf958a,coffee_sensors_v2,1.0,17.95,16.09,aws-dev-01,41.0,18.0,2018-09-08T15:16:51.931222532Z,sensor
722,265bc6a0-862c-45f6-bffc-a1dd61cb8bc7,coffee_sensors_v2,1.0,16.17,16.04,aws-dev-01,52.0,15.0,2018-09-08T16:18:25.450084879Z,sensor
723,acf21d52-a69d-4fe6-b7bb-7c776ea51f57,coffee_sensors_v2,1.0,16.17,15.42,aws-dev-01,41.0,18.0,2018-09-09T15:57:24.124948181Z,sensor
724,db7c108d-273e-44a7-a8e6-6164b0287797,coffee_sensors_v2,1.0,15.91,16.31,aws-dev-01,45.0,17.0,2018-09-09T16:12:51.738826006Z,sensor
725,e9e1d4f4-45f3-40a5-805e-0b2b8949e3c4,coffee_sensors_v2,1.0,15.87,16.16,aws-dev-01,48.0,16.0,2018-09-09T16:33:22.582301083Z,sensor
726,20901f77-a11c-41a8-9167-adaf0fb96586,coffee_sensors_v2,1.0,15.64,16.32,aws-dev-01,53.0,16.0,2018-09-09T17:55:35.927595185Z,sensor
727,af18a2ed-2cec-4b9b-a8fe-ec1a873f08b9,coffee_sensors_v2,1.0,14.87,15.26,aws-dev-01,53.0,16.0,2018-09-09T18:05:54.333603447Z,sensor
728,80415e30-7b8e-4517-8d2c-a7b001641d98,coffee_sensors_v2,1.0,15.37,16.53,aws-dev-01,52.0,16.0,2018-09-09T17:50:26.70977268Z,sensor
729,53a2d964-c813-4c8a-8393-ad2d94517162,coffee_sensors_v2,1.0,14.97,15.23,aws-dev-01,53.0,15.0,2018-09-09T18:16:25.41718035Z,sensor
730,a28109ab-28a8-45e0-8b56-a88bd5a34f78,coffee_sensors_v2,1.0,14.83,15.19,aws-dev-01,54.0,16.0,2018-09-09T19:07:51.499301122Z,sensor
731,c471e8c0-9ed8-4102-aebb-0fafed1b59d3,coffee_sensors_v2,1.0,14.97,15.91,aws-dev-01,60.0,15.0,2018-09-09T20:30:18.839774016Z,sensor
732,3f3ee2c3-f96f-476d-8fad-7c7645baeaca,coffee_sensors_v2,1.0,14.43,16.35,aws-dev-01,68.0,15.0,2018-09-09T21:16:26.716292854Z,sensor
733,adfc8322-21ea-41aa-bfc5-6f8121458d3b,coffee_sensors_v2,1.0,15.03,15.74,aws-dev-01,72.0,15.0,2018-09-09T22:48:36.481387345Z,sensor
734,7f5141f4-953e-4ef4-b1fd-97fa3b0fe5e5,coffee_sensors_v2,1.0,15.07,15.66,aws-dev-01,58.0,15.0,2018-09-09T19:54:15.37622788Z,sensor
735,230bc52f-9a20-4f30-805d-0f2f69448d6e,coffee_sensors_v2,1.0,15.27,15.2,aws-dev-01,71.0,15.0,2018-09-09T21:21:35.931683022Z,sensor
736,5f75004f-d2e5-4abe-88b8-b1f4a9f9966c,coffee_sensors_v2,1.0,15.2,16.3,aws-dev-01,66.0,15.0,2018-09-09T21:06:14.309745205Z,sensor
737,34b72b52-9fcf-4ac2-a424-78978d15d06a,coffee_sensors_v2,1.0,15.4,16.35,aws-dev-01,56.0,15.0,2018-09-09T19:28:25.3290921Z,sensor
738,bf06f8d6-fa7e-47e5-8035-764d3b30e2ad,coffee_sensors_v2,1.0,15.0,14.98,aws-dev-01,70.0,15.0,2018-09-09T22:17:59.22503393Z,sensor
739,6ebcfc75-df08-45c7-9794-6c016878c40f,coffee_sensors_v2,1.0,15.23,15.05,aws-dev-01,79.0,14.0,2018-09-10T02:50:00.294993012Z,sensor
740,caee3e24-702f-4a95-88cd-51b8ec6488ec,coffee_sensors_v2,1.0,15.17,16.06,aws-dev-01,72.0,15.0,2018-09-09T22:53:45.701399631Z,sensor
741,3d51e638-8479-4ece-a853-a48836fb4e42,coffee_sensors_v2,1.0,15.17,16.42,aws-dev-01,72.0,15.0,2018-09-09T23:14:13.544382891Z,sensor
742,8db2c417-4c48-43a3-ac65-4b756ba890d7,coffee_sensors_v2,1.0,15.44,16.01,aws-dev-01,79.0,15.0,2018-09-10T00:56:56.708392546Z,sensor
743,def60a79-58e9-48ce-ada2-02b93cba7956,coffee_sensors_v2,1.0,15.47,15.85,aws-dev-01,79.0,15.0,2018-09-10T01:02:08.906931084Z,sensor
744,0d39f104-db88-401b-8a10-8214acf2b5cb,coffee_sensors_v2,1.0,15.77,16.29,aws-dev-01,78.0,15.0,2018-09-10T01:12:24.322530985Z,sensor
745,c25f5405-9e25-44f0-9f58-09391934984d,coffee_sensors_v2,1.0,14.63,15.05,aws-dev-01,80.0,14.0,2018-09-10T03:10:25.137173933Z,sensor
746,5124baf8-08dd-4ed6-9c07-23c57baac456,coffee_sensors_v2,1.0,15.2,15.18,aws-dev-01,78.0,15.0,2018-09-10T00:41:38.079803896Z,sensor
747,52496143-b565-425b-aab4-ebc80c98f532,coffee_sensors_v2,1.0,15.7,16.27,aws-dev-01,74.0,15.0,2018-09-09T23:50:10.99087442Z,sensor
748,4050d0c8-db5a-42c3-991a-8b45353952d7,coffee_sensors_v2,1.0,15.03,15.32,aws-dev-01,82.0,14.0,2018-09-10T04:17:17.848148804Z,sensor
749,9d5d24ce-27a2-4dfe-bfee-d991349d454a,coffee_sensors_v2,1.0,16.21,15.69,aws-dev-01,67.0,18.0,2018-09-10T05:44:22.398131247Z,sensor
750,6d9ccd26-1397-4f58-9303-19cd4a48a245,coffee_sensors_v2,1.0,16.98,15.71,aws-dev-01,66.0,18.0,2018-09-10T05:59:47.021575095Z,sensor
751,a05caa7f-7be6-468a-b2ca-2b949f232d30,coffee_sensors_v2,1.0,19.33,15.21,aws-dev-01,58.0,21.0,2018-09-10T06:25:29.054984154Z,sensor
752,07483ccf-c38f-4a47-a50f-92937fb60f2c,coffee_sensors_v2,1.0,20.34,15.05,aws-dev-01,49.0,22.0,2018-09-10T06:56:26.312069184Z,sensor
753,dd6d6aac-1de6-4a17-ae87-3a58464f0ee7,coffee_sensors_v2,1.0,23.19,16.77,aws-dev-01,22.0,31.0,2018-09-10T13:42:11.746823502Z,sensor
754,e51050c3-29c6-411e-8994-4a96c9a903a4,coffee_sensors_v2,1.0,16.68,15.87,aws-dev-01,76.0,16.0,2018-09-10T05:23:54.581752775Z,sensor
755,614e56c5-6e57-4ae7-b88a-827ce69e41f4,coffee_sensors_v2,1.0,24.13,15.35,aws-dev-01,23.0,36.0,2018-09-10T09:04:52.481324437Z,sensor
756,cfae92bc-4a8a-441f-8071-22b319249cc2,coffee_sensors_v2,1.0,26.95,15.9,aws-dev-01,24.0,28.0,2018-09-10T13:26:53.140809458Z,sensor
757,5e29a9a1-a73f-4062-9e33-85c9a7fea662,coffee_sensors_v2,1.0,16.54,16.62,aws-dev-01,85.0,15.0,2018-09-10T20:59:14.364926153Z,sensor
758,a3c52b0d-00c1-4d40-938d-2dcb7f8b7ed4,coffee_sensors_v2,1.0,16.95,19.95,aws-dev-01,74.0,16.0,2018-09-10T19:59:05.252717579Z,sensor
759,8b30da88-f68f-4801-a50a-60af31b7463d,coffee_sensors_v2,1.0,15.34,21.97,aws-dev-01,58.0,15.0,2018-09-11T21:43:56.980250112Z,sensor
760,c7515cea-68ab-46db-a8d6-a95c6c05f875,coffee_sensors_v2,1.0,15.5,19.8,aws-dev-01,56.0,15.0,2018-09-11T19:43:37.028590763Z,sensor
761,987364c9-13dd-401e-b3bd-f85953450ab1,coffee_sensors_v2,1.0,,,aws-dev-02,44.0,24.0,2018-09-11T12:15:29.878732285Z,sensor
762,d43faebf-3041-4f6a-bf81-fd2b8a8a586d,coffee_sensors_v2,1.0,,,aws-dev-02,49.0,22.0,2018-09-11T12:27:22.933813732Z,sensor
763,6428949f-b7a1-448a-87c5-011174e7b1fd,coffee_sensors_v2,1.0,,,aws-dev-02,48.0,22.0,2018-09-11T12:33:09.952484862Z,sensor
764,a10f5b4c-9a61-47ef-842b-91cd0192c274,coffee_sensors_v2,1.0,,,aws-dev-02,83.0,17.0,2018-09-12T05:35:21.918702108Z,sensor
765,04cc0ae5-f79e-4245-9857-38fbcf7a3554,coffee_sensors_v2,1.0,,,aws-dev-02,72.0,20.0,2018-09-12T06:35:30.866646508Z,sensor
766,6efe9588-0b65-4f76-b11a-2abb7222dc46,coffee_sensors_v2,1.0,17.79,27.78,aws-dev-01,32.0,23.0,2018-09-12T14:52:46.225377968Z,sensor
767,ee512487-c868-4d62-9d62-4c9d7a2a2f1d,coffee_sensors_v2,1.0,13.76,26.93,aws-dev-01,60.0,12.0,2018-09-12T22:53:49.085326865Z,sensor
768,5a0a4154-fa90-44dd-b043-34f6d7a82af9,coffee_sensors_v2,1.0,22.86,-0.25,aws-dev-03,40.0,22.0,2018-09-13T10:42:32.815453724Z,sensor
769,bec13fe7-ea25-4ed5-a40c-83dc2b1c3060,coffee_sensors_v2,1.0,15.13,27.35,aws-dev-01,47.0,15.0,2018-09-12T19:53:30.71426483Z,sensor
770,95cdde94-1a4b-4bc3-bf42-3c8f3ee86720,coffee_sensors_v2,1.0,14.53,25.14,aws-dev-01,52.0,14.0,2018-09-12T20:53:36.81740474Z,sensor
771,34148955-1e80-4aae-a638-5e6be3cf5198,coffee_sensors_v2,1.0,,,aws-dev-02,92.0,14.0,2018-09-12T20:37:22.469158048Z,sensor
772,eeee77f4-768d-4a73-8686-e08dd04fff2d,coffee_sensors_v2,1.0,,,aws-dev-02,99.0,13.0,2018-09-13T02:38:08.128700597Z,sensor
773,4db6fbda-6aea-4775-9006-0aca86197a76,coffee_sensors_v2,1.0,,,aws-dev-02,99.0,13.0,2018-09-13T04:38:23.359316626Z,sensor
774,22f88195-a13f-48cd-a5b1-789e11a1c4cc,coffee_sensors_v2,1.0,26.89,-0.12,aws-dev-03,,,2018-09-13T11:21:48.156430607Z,sensor
775,ad7f5c8c-273b-43b1-97f9-70dc8d91fddd,coffee_sensors_v2,1.0,32.33,106.81,aws-dev-03,55.0,25.0,2018-09-14T11:21:23.453657222Z,sensor
776,b5dcd45b-e0f2-40d5-b7c3-4f85f24fc085,coffee_sensors_v2,1.0,-26.43,-0.72,aws-dev-03,38.0,23.0,2018-09-13T11:35:26.470599505Z,sensor
777,69df8a99-d23e-41e7-9cf3-8119bb7276f3,coffee_sensors_v2,1.0,24.13,47.68,aws-dev-03,59.0,16.0,2018-09-13T17:15:08.307320486Z,sensor
778,b3db4fe0-cfa7-4988-8803-9f48511eb208,coffee_sensors_v2,1.0,27.42,0.49,aws-dev-03,38.0,23.0,2018-09-13T11:35:50.696987478Z,sensor
779,733b883b-9869-45a9-b71c-f0524bc43f4f,coffee_sensors_v2,1.0,23.8,48.42,aws-dev-03,74.0,15.0,2018-09-13T20:15:53.678859642Z,sensor
