"Series";"Time";"Value"
"soil temperature";"2018-10-09T19:00:00+03:00";19.6
"soil temperature";"2018-10-09T20:00:00+03:00";18.53
"soil temperature";"2018-10-09T21:00:00+03:00";17.48
"soil temperature";"2018-10-09T22:00:00+03:00";15.87
"soil temperature";"2018-10-09T23:00:00+03:00";18.79
"soil temperature";"2018-10-10T00:00:00+03:00";17.65
"soil temperature";"2018-10-10T01:00:00+03:00";17.05
"soil temperature";"2018-10-10T02:00:00+03:00";16.41
"soil temperature";"2018-10-10T03:00:00+03:00";15.13
"soil temperature";"2018-10-10T04:00:00+03:00";11.88
"soil temperature";"2018-10-10T05:00:00+03:00";11.41
"soil temperature";"2018-10-10T06:00:00+03:00";10.365
"soil temperature";"2018-10-10T07:00:00+03:00";6.77
"soil temperature";"2018-10-10T08:00:00+03:00";8.72
"soil temperature";"2018-10-10T09:00:00+03:00";-29.65
"soil temperature";"2018-10-10T10:00:00+03:00";null
"soil temperature";"2018-10-10T11:00:00+03:00";null
