,_id,_index,_score,_source.dev_id,_source.relative_humidity_3,_source.temperature_2,_source.time,_type
40,0f6c3351-b007-46d2-99a5-f032be201741,coffee_sensors,1.0,aws-dev-01,59.0,16.0,2018-08-31T06:52:47.530054821Z,sensor
41,01cb77f0-7a72-4188-aec0-8263e689b939,coffee_sensors,1.0,aws-dev-01,56.0,17.0,2018-08-31T07:23:33.673382496Z,sensor
42,6b003fee-294d-479d-bbe6-9c3c1d77f4a4,coffee_sensors,1.0,aws-dev-01,73.0,12.0,2018-08-31T05:04:34.05764384Z,sensor
43,7b7d3921-950d-47ae-9768-949508c0d539,coffee_sensors,1.0,aws-dev-01,,,2018-08-31T04:18:16.967232611Z,sensor
44,446f6eaa-b633-46da-9dc8-971d7d5d1837,coffee_sensors,1.0,aws-dev-01,,,2018-08-31T05:50:50.723721763Z,sensor
45,070a26a9-191b-4a9f-8796-0deca6a10aea,coffee_sensors,1.0,aws-dev-01,,,2018-08-31T06:01:12.223052971Z,sensor
46,390d2b06-9d2e-4b35-8558-f7185e9ab10a,coffee_sensors,1.0,aws-dev-01,52.0,18.0,2018-08-31T08:04:50.338007512Z,sensor
47,57512af9-69c5-4095-ba1b-725766ded347,coffee_sensors,1.0,aws-dev-01,50.0,18.0,2018-08-31T14:05:19.877451413Z,sensor
48,98ce88dd-285a-44d9-9387-792e6017df37,coffee_sensors,1.0,aws-dev-01,56.0,16.0,2018-08-31T15:17:19.786572391Z,sensor
49,e83d6e42-6449-4498-84e8-2923244c1e7b,coffee_sensors,1.0,aws-dev-01,58.0,15.0,2018-08-31T15:53:39.282241085Z,sensor
50,d3e554aa-0418-4c04-9316-9965ec6aac66,coffee_sensors,1.0,aws-dev-01,61.0,15.0,2018-08-31T17:05:30.162155518Z,sensor
51,26d9a6f1-aa58-403e-a798-984b4c16066f,coffee_sensors,1.0,aws-dev-01,62.0,15.0,2018-08-31T17:15:42.596035325Z,sensor
52,74b3d2f6-fa81-4c2e-af03-db2deccd2817,coffee_sensors,1.0,aws-dev-01,53.0,18.0,2018-08-31T08:35:45.57501531Z,sensor
53,9bf207ff-fcea-4cb6-a3df-51e19113ae1a,coffee_sensors,1.0,aws-dev-01,49.0,19.0,2018-08-31T09:06:43.98278085Z,sensor
54,308e6f5b-b7f1-4ae0-bbb2-bdaa8c801ea2,coffee_sensors,1.0,aws-dev-01,,,2018-08-31T18:53:31.419165726Z,sensor
55,05906900-1558-4f5d-8825-825db514676d,coffee_sensors,1.0,aws-dev-01,66.0,14.0,2018-08-31T19:08:56.179265725Z,sensor
56,a6f0f96e-5a08-49af-82f5-3361e19e0fe0,coffee_sensors,1.0,aws-dev-01,69.0,13.0,2018-08-31T19:55:25.062749714Z,sensor
57,28130a3a-3ac8-45b3-8547-c801f4b59def,coffee_sensors,1.0,aws-dev-01,69.0,14.0,2018-08-31T20:21:08.434035524Z,sensor
58,6107af70-1a5e-4ca2-ae68-ad5eb54d8a68,coffee_sensors,1.0,aws-dev-01,68.0,14.0,2018-08-31T20:46:48.152475156Z,sensor
59,86452160-9c88-4cdd-b3cf-c8fbe5c869d9,coffee_sensors,1.0,aws-dev-01,66.0,14.0,2018-08-31T21:17:37.441574079Z,sensor
60,ed47d8c5-e2b8-4e5c-bb26-3e9809cfe830,coffee_sensors,1.0,aws-dev-01,66.0,14.0,2018-08-31T22:40:04.749962924Z,sensor
61,1a0beecd-8a1e-460c-8bca-d1622077f06f,coffee_sensors,1.0,aws-dev-01,66.0,14.0,2018-08-31T22:55:26.646629422Z,sensor
62,798e9b6d-b78d-43fb-adce-8b6d6218529f,coffee_sensors,1.0,aws-dev-01,66.0,14.0,2018-08-31T23:00:32.589261636Z,sensor
63,865f1f64-0c92-455a-b3d2-09147386037d,coffee_sensors,1.0,aws-dev-01,66.0,14.0,2018-08-31T19:24:17.80893645Z,sensor
64,678b8302-90db-40b3-9503-ed1ca36c2033,coffee_sensors,1.0,aws-dev-01,76.0,13.0,2018-09-01T00:33:00.437499912Z,sensor
65,3c19babe-4514-4ece-a050-979f7995ca2e,coffee_sensors,1.0,aws-dev-01,75.0,13.0,2018-09-01T01:13:59.010429971Z,sensor
66,52761ab9-b6e8-42e9-8e1c-12c71080bb8a,coffee_sensors,1.0,aws-dev-01,75.0,13.0,2018-09-01T02:30:53.150057285Z,sensor
67,ca00daa8-f670-4c40-b415-1c76fa3050e1,coffee_sensors,1.0,aws-dev-01,76.0,13.0,2018-09-01T03:53:20.505765809Z,sensor
68,10832379-d5b0-4cdd-b866-6d6b8178dcaf,coffee_sensors,1.0,aws-dev-01,77.0,14.0,2018-09-01T05:15:42.042885518Z,sensor
69,e0429d64-48d4-4f55-b70d-a3137cbaf688,coffee_sensors,1.0,aws-dev-01,73.0,14.0,2018-09-01T05:51:37.292766012Z,sensor
